年 year
志 zhi
志 chi
已經 already
梁 beam
梁 leung
梁 liang
梁 beams
胡 hu
專輯 album
專輯 albums
角色 character
角色 role
角色 characters
角色 roles
武 wu
武 takeshi
赫 hyuk
半 half
成員 member
成員 members
東京 tokyo
新聞 news
現在 now
劇 drama
後來 later
女性 females
女性 female
女性 women
高度 altitude
高度 height
說 say
男 male
之前 before
合作 collaboration
合作 cooperation
合作 cooperate
門 gate
門 door
門 doors
卷 roll
卷 rolls
位置 position
位置 location
活動 activities
活動 events
活動 event
活動 activity
只 only
歷史 history
歌曲 songs
歌曲 song
點 dots
點 dot
點 point
一次 once
植物 plants
植物 plant
封 feng
封 seal
皮 leather
非常 very
而且 and
通常 usually
通常 normally
形成 forming
形成 formation
比賽 game
比賽 race
比賽 contest
聯賽 league
九 nine
學校 schools
學校 school
完全 completely
完全 totally
信 letters
信 letter
期間 period
接受 acceptance
接受 accepted
接受 accept
書 book
書 books
交通 transportation
交通 traffic
交通 transport
木 wooden
木 wood
討論 discussions
討論 discuss
故事 story
故事 stories
直接 direct
直接 directly
參與 participating
參與 engagement
參與 involvement
參與 participation
朗 lang
朗 lon
湖 lake
根 root
根 roots
保留 reservations
保留 reserved
保留 reservation
希望 hope
手 hand
手 hands
心 heart
心 hearts
巴士 bus
巴士 buses
播放 broadcast
播放 play
播放 playback
播放 plays
播放 playing
音 consonant
音 tone
增加 increase
增加 increasing
增加 increases
增加 increased
角 corner
角 angle
角 angular
角 cape
角 point
天文台 observatories
天文台 observatory
耶 yay
這些 these
丹 dan
吳 wu
太 too
徐 seo
徐 tsui
徐 xu
嘉 ka
永 wing
永 yong
歌 songs
歌 song
美元 dollars
美元 dollar
霍 huo
圖 diagram
圖 graph
圖 chart
圖 figure
投票 vote
投票 voting
投票 poll
灣 inlet
灣 cove
灣 bay
民主 democracy
寺 temple
雖然 although
雖然 though
參加 attend
參加 participating
參加 attending
特別 special
控制 control
控制 controls
蒙 mont
戰 battle
戰 war
電視台 tv
電視台 television
以下 below
然而 however
然而 yet
七 seven
口 mouth
仁 jin
仁 jen
委員會 commission
編輯 edit
編輯 editing
編輯 editor
推出 rollout
資料 data
隆 takashi
隆 ryu
青 ching
青 qing
青 tsing
播出 broadcast
路線 routes
路線 route
倫 lun
年度 year
宋 song
附近 near
附近 nearby
歌手 singers
歌手 singer
店 shop
店 store
二十 twenty
組織 organization
組織 organisation
組織 tissue
組織 division
分類 classifications
分類 classify
分類 classification
教授 professor
盃 cup
源 source
八 eight
法國 france
除了 except
文字 text
民族 ethnicity
民族 nationalities
主席 president
主席 chairperson
主席 chairman
不過 but
文物 artifacts
文物 antiquities
文物 relics
老 old
女子 woman
選 pick
世紀 century
鐵 iron
德國 germany
票 tickets
票 ticket
動畫 anime
打 fight
關係 relationships
關係 relation
關係 relations
關係 relationship
能力 competencies
能力 capacity
能力 ability
能力 capabilities
能力 capability
佛 buddha
少 fewer
少 less
網站 website
網站 site
網站 websites
模板 templates
模板 template
頭 head
個人 personal
個人 individual
擁有 possession
擁有 owning
擁有 owned
學生 students
學生 student
鎮 town
南部 southern
南部 south
語言 languages
語言 language
模式 modes
模式 pattern
模式 patterns
模式 mode
$ $
相關 relevant
相關 related
決定 decides
決定 decision
決定 decisions
楊 jan
楊 yang
楊 yeo
方向 directions
方向 direction
方向 orientation
郭 guo
思 si
方法 methodologies
方法 method
方法 methods
影響 impact
影響 impacts
影響 influence
影響 effects
影響 influences
屬於 belonged
許多 many
第四 fourth
秀 soo
死 dead
自治 autonomy
蘇 sue
蘇 su
甚至 even
開 open
見 see
田 tian
只是 just
結束 end
巴西 brazil
共同 common
出版社 publisher
出版社 publishers
提名 nominations
提名 nomination
提名 nominated
保護 protecting
保護 protect
保護 protection
保護 protected
加上 add
加上 plus
食 eating
獨立 indie
獨立 independent
獨立 independence
包含 contains
距離 distance
距離 distances
社會 society
社會 societies
社會 social
加拿大 canada
兩個 two
公尺 meters
公尺 meter
公尺 metres
還 also
哥 brother
歐洲 europe
歐洲 european
像 like
鐵路 rail
鐵路 railway
鐵路 railways
鐵路 railroad
鐵路 railroads
居民 residents
功能 function
功能 features
功能 functional
功能 feature
功能 functionality
聯盟 union
聯盟 league
聯盟 alliance
聯盟 alliances
聯盟 coalition
洪 hung
洪 hong
利用 use
利用 utilization
最終 eventually
平均 average
平均 avg
侵 assault
侵 transgression
雙 double
再次 again
網 web
網 network
網 net
施 shi
量 quantity
演員 cast
演員 actors
演員 actress
演員 actor
亞洲 asian
亞洲 asia
全球 globally
全球 globe
全球 global
全部 all
北部 north
北部 northern
運動 sports
運動 motion
運動 sport
運動 movement
中共 cpc
中共 ccp
毛 gross
毛 mao
草 grass
直到 until
名字 name
地球 earth
中華 zhonghua
死亡 death
戰爭 war
戰爭 wars
作曲 compose
作曲 composing
溪 creek
邦 pong
或者 or
紅 red
唱片 record
安全 safe
安全 secure
玉 jade
學院 academy
學院 college
學院 colleges
勝 sheng
豪 howe
鄉 township
原因 reasons
原因 reason
原因 cause
通過 via
通過 through
通過 pass
管 pipe
管 tube
強 strong
選舉 election
選舉 elections
辛 sheen
辛 sin
辛 xin
漢 han
法律 law
法律 laws
革命 revolution
革命 revolutions
計劃 plan
計劃 plans
時代 times
男性 males
男性 male
男性 men
目的 aims
形式 form
形式 format
鄭 zheng
鄭 jeong
鄭 jung
基本 basic
蔡 tsai
蔡 cai
蔡 choy
蔡 chae
葉 ye
葉 leaf
葉 yip
葉 ip
單位 units
單位 unit
惠 megumi
修 fix
科技 technology
科技 tech
青年 youth
流 streaming
流 flow
流 streams
流 stream
蒙古 mongolian
蒙古 mongolia
結果 outcome
結果 results
結果 result
教 teaching
教 teach
解放 emancipation
解放 liberation
解放 liberated
祖 zu
祖 joe
體 body
球隊 teams
球隊 team
昌 cheong
左 left
戴 dai
戴 wear
自然 naturally
自然 natural
自然 nature
台北 taipei
澳門 macao
澳門 macau
新的 new
經濟 economics
經濟 economic
經濟 economy
傑 jie
傑 jay
切 cut
一起 together
越南 vietnam
越南 vietnamese
權 kwon
快速 quick
快速 fast
學 learning
學 learn
職業 occupations
職業 career
職業 profession
職業 careers
職業 occupation
團 regiment
摩 mo
百 hundred
廣 wide
廣 broad
相同 identical
相同 same
類 class
兵 soldier
× ×
億 billion
分鐘 minutes
分鐘 minute
松 pine
發 hair
超過 exceeding
政策 policy
政策 policies
銀 silver
日期 date
日期 dates
穆 mu
寶 bo
寶 po
單曲 singles
普通 ordinary
鰭 fins
鰭 fin
男子 men
共和國 republic
理由 reasons
理由 reason
南京 nanking
南京 nanjing
交流 exchange
交流 exchanges
總統 president
公分 centimeter
標準 criteria
標準 standards
標準 criterion
標準 standard
排名 ranking
排名 standings
排名 rankings
排名 rank
排名 ranked
表 table
韓國 korean
韓國 korea
行動 action
行動 operation
行動 actions
余 yu
桑 mulberry
博士 doctor
立法 legislation
尾 tail
尾 tails
熱帶 tropical
熱帶 tropics
議員 senator
議員 councillor
議員 congressman
漫畫 comics
漫畫 cartoons
漫畫 comic
漫畫 manga
漫畫 cartoon
短 short
坑 pits
坑 pit
大型 large
凱 kai
凱 kay
柯 ke
生物 biological
生物 biology
生物 creatures
生物 organisms
生物 creature
城鎮 town
城鎮 towns
春 spring
海軍 navy
海軍 naval
公路 roads
公路 highways
公路 road
公路 highway
冠 crown
作家 writer
作家 writers
空 empty
雪 snow
牛 cattle
牛 cow
牛 bull
火 fire
攻擊 attacks
攻擊 attack
攻擊 assault
值 values
值 value
十二 twelve
新加坡 singapore
琳 lynn
西部 west
西部 western
土 dirt
土 soil
早期 early
速度 velocity
速度 speed
合併 merger
合併 merge
合併 merging
合併 consolidation
合併 mergers
建築 building
建築 buildings
建築 construction
建築 architecture
道路 roads
道路 road
發表 publishing
發表 publish
發表 published
低 lower
低 low
庫 coop
色 color
樂 lok
轉 turn
仍然 still
來自 from
每年 yearly
天津 tianjin
我的 my
技術 technical
技術 technologies
技術 technique
技術 technology
技術 techniques
主任 director
畢業 graduated
畢業 graduation
畢業 graduate
設 set
機場 airport
機場 airports
威廉 william
館 pavilion
天主教 catholicism
天主教 catholic
富 rich
千 thousand
芬 fen
芬 fin
大部分 most
程 cheng
房 room
柏 por
最早 earliest
她的 her
太平洋 pacific
我們 we
費 fee
情況 situation
最初 initially
來源 source
來源 sources
首都 capital
牌 cards
杯 cup
廣告 ads
廣告 advertisements
廣告 advertising
廣告 advertisement
廣告 ad
深 depth
深 deep
描述 describe
描述 description
描述 descriptive
描述 descriptions
皇帝 emperor
@ @
侯 hou
域 domain
域 domains
團體 groups
流行 popular
流行 pop
潘 pam
潘 pan
歐 ou
計畫 plan
列車 train
列車 trains
環 ring
環 rings
環 loop
父 father
不明 unknown
不明 unidentified
取代 replaced
取代 replace
兄弟 brother
物理 physics
物理 physical
底 bottom
智 ji
右 right
武器 weapons
武器 weapon
顯示 showing
顯示 shows
顯示 display
顯示 show
制度 regime
報告 report
報告 reporting
報告 reports
秒 seconds
秒 second
秒 sec
第五 fifth
雲 clouds
雲 cloud
雲 yun
小說 novel
小說 novels
小說 fiction
風 wind
程度 degree
導演 director
父親 father
和平 peace
西北 northwestern
西北 northwest
西北 nw
產生 generating
圈 circles
圈 circle
修改 modify
修改 modified
修改 modification
烏 oo
直 straight
生產 manufacture
生產 production
申請 applications
申請 application
單 single
谷 valley
谷 tani
魏 wei
巴黎 paris
家庭 families
家庭 family
流域 basin
流域 watersheds
流域 watershed
宗教 religion
宗教 religious
宗教 religions
表演 performing
英格蘭 england
拜 bye
聯合 joint
當地 locally
當地 local
不久 soon
作用 role
作用 roles
改革 reform
改革 reforms
改革 reformed
改革 reforming
藝術 arts
藝術 art
藝術 artistic
球員 player
球員 players
教區 parish
教區 diocese
處理 handling
處理 handle
處理 processing
香 incense
先生 sir
寧 ning
建議 advice
建議 recommendations
建議 suggestions
建議 suggestion
建議 recommendation
建議 proposal
旅 brigades
旅 brigade
全國 nationally
全國 nationwide
‧ ‧
人員 personnel
虎 tiger
超級 super
土地 lands
土地 land
彭 peng
四川 sichuan
曹 cao
展 exhibition
特色 features
特色 feature
公園 park
公園 parks
包 bag
包 package
包 bao
包 pack
中部 midlands
西南 southwestern
西南 southwest
韋 wei
翼 tsubasa
翼 wing
翼 wings
孔 kong
孔 hole
麥 mak
盧 lu
盧 lou
十一 eleven
十一 xi
研究所 institute
研究所 institutes
協會 association
主演 starring
文學 literary
文學 literature
頻道 channels
頻道 channel
少年 teen
少年 juvenile
少年 junior
舊 old
大家 everyone
股份 shares
泉 izumi
紀錄 record
紀錄 records
影片 films
影片 movie
影片 video
影片 film
身份 identities
身份 identity
義 righteousness
基地 bases
基地 base
必須 must
文件 files
文件 file
電視劇 drama
更多 more
藍 blue
居住 residence
居住 residency
力量 strength
板 plates
板 plate
板 boards
秦 qin
浙江 zhejiang
禁 forbidden
船 ship
船 boat
文章 articles
意見 opinions
意見 comments
意見 opinion
公主 princess
同意 agreed
同意 agree
果 fruit
最多 most
最多 max
地下 underground
十 ten
銀行 banks
銀行 bank
非洲 africa
非洲 african
媒體 media
支援 support
支援 backup
陵 mausoleum
第十 tenth
拍攝 shoot
拍攝 filming
拍攝 shooting
還有 and
西藏 tibet
俄羅斯 russia
節 festival
分析 analytical
分析 analytics
分析 analysis
榮 rong
偉 wai
旗 flags
旗 flag
旗 banner
行星 planet
行星 planetary
行星 planets
作者 writer
作者 authors
作者 writers
作者 author
北海道 hokkaido
° °
皇家 royal
皇家 royals
電子 electron
電子 electronic
電子 electronics
三十 thirty
倫敦 london
範圍 scopes
範圍 ranges
範圍 range
黨 party
缺乏 lacking
微 micro
教堂 churches
教堂 church
警察 police
絲 silk
努 nu
趙 zhao
趙 cho
帝國 empire
原本 originally
娛樂 recreation
娛樂 entertain
娛樂 entertaining
娛樂 entertainment
坡 slope
坡 poe
方案 program
方案 programmes
方案 programs
方案 programme
屋 house
部隊 troops
詞 word
詞 words
洞 hole
洞 cave
洞 dong
宮 palace
影 shadows
影 shadow
速 speed
黎 lê
黎 lai
會議 conference
會議 meetings
會議 meeting
資訊 information
豐 yutaka
戰鬥 battle
戰鬥 fighting
戰鬥 fight
項目 project
項目 items
項目 projects
項目 item
玩家 player
玩家 gamer
玩家 players
限制 limitations
限制 restrictions
限制 limitation
限制 restriction
限制 limit
電腦 computer
電腦 computers
如何 how
創作 creations
創作 creation
創作 creative
引擎 engine
引擎 engines
執行 execute
執行 execution
執行 executing
英雄 heroes
英雄 hero
下午 afternoon
透過 through
反對 objection
反對 opposition
興 xing
興 hing
小時 hours
小時 hour
昂 ang
昂 aung
不足 insufficient
不足 inadequacy
不足 inadequate
體育 sport
體育 sports
洲 chau
投入 input
投入 inputs
有些 some
元素 elements
元素 ingredients
元素 elemental
元素 element
宇 woo
任命 appointments
任命 appointment
解 solve
跨 trans
王朝 dynasty
區域 zone
區域 area
區域 region
區域 regions
以前 before
報 newspaper
分子 molecular
分子 molecule
分子 molecules
隧道 tunnel
隧道 tunnels
孫 sun
崔 choi
崔 cui
禮 rite
申 shin
湖南 hunan
雜誌 magazine
雜誌 magazines
有效 valid
有效 effective
平台 platform
平台 platforms
概念 concept
概念 notion
概念 concepts
議會 parliament
議會 parliaments
傳統 traditional
傳統 tradition
傳統 traditions
夏季 summer
照片 photographs
照片 picture
照片 photograph
照片 pictures
照片 photos
照片 photo
核 nuclear
核 nucleus
更名 renaming
停止 stop
公開 public
仙 fairy
仙 xian
劍 swords
劍 sword
機構 agency
機構 institutions
機構 institution
帶 bring
帶 belt
操作 operation
取消 cancel
取消 cancellation
人類 humans
人類 human
市場 marketplace
市場 markets
市場 market
接近 approaching
飛 fly
飛 flying
軍事 military
協助 assisting
協助 assistance
協助 assist
協助 assisted
橋 bridge
橋 bridges
調查 surveys
調查 investigation
調查 survey
調查 investigate
調查 investigations
投 cast
投 pitch
忠 chung
澳洲 australian
主教 bishop
孟 meng
紀念 memorial
紀念 souvenir
紀念 commemorative
紀念 remembrance
紀念 commemoration
地點 venue
地點 place
地點 location
地點 places
地點 locations
颱風 typhoons
颱風 typhoon
決賽 final
決賽 finals
大臣 minister
柳 yoo
柳 ryu
沈 shen
沈 shim
人工 artificial
守 mamoru
移動 move
陸軍 army
法院 court
法院 courthouse
法院 courts
留 stay
電 electricity
電 electric
運動員 athlete
運動員 athletes
運動員 sportsman
效力 potency
夢 dream
夢 dreams
祥 xiang
羅馬 rome
科學 science
科學 scientific
東北 northeastern
東北 northeast
烏克蘭 ukraine
啟用 enable
啟用 enabled
啟用 activate
皇后 empress
皇后 queen
肯 ken
齊 qi
九龍 kowloon
柱 column
柱 pillar
動物 animals
動物 animal
佛教 buddhism
佛教 buddhist
精神 spiritual
精神 spirit
精神 mental
企業 enterprises
企業 businesses
企業 business
企業 enterprise
核心 core
核心 nucleus
核心 kernel
環境 environment
環境 environments
河南 henan
冰 ice
第七 seventh
甘 gan
飛機 aircraft
飛機 plane
飛機 airplane
詹 zhan
應該 should
太陽 sun
太陽 solar
深圳 shenzhen
瑞典 sweden
廳 hall
關 guan
關 off
竹 bamboo
福建 fujian
選擇 selection
選擇 choose
選擇 select
選擇 choice
陶 tao
珠 beads
比較 comparison
比較 compare
比較 comparative
比較 comparisons
類似 similar
眼 eyes
眼 eye
澤 chak
妻子 wife
秋 autumn
雨 rain
編號 numbering
編號 id
編號 number
亭 kiosk
溫 wen
思想 thought
思想 thoughts
破壞 sabotage
破壞 destruction
重建 rebuilding
重建 rebuild
重建 reconstruction
第六 sixth
基督教 christian
基督教 christianity
南方 southern
南方 south
洋 hiroshi
洋 ocean
公民 civic
公民 citizens
公民 citizen
燕 swallow
燕 yan
改善 improving
改善 improvements
改善 improved
改善 improve
改善 improvement
鐵道 railway
鐵道 railways
鐵道 railroad
蘇聯 ussr
烈 yeol
製造 manufacture
製造 manufactured
製造 manufacturing
敏 min
網路 web
網路 internet
網路 networking
網路 network
網路 networks
炮 cannon
炮 gun
岩 rocks
岩 rock
排 platoon
排 row
朋友 friends
朋友 friend
離開 leave
十六 xvi
十六 sixteen
有人 someone
生命 life
找到 found
找到 find
十五 fifteen
油 oil
油 oils
狀態 status
調 tune
賢 hyun
更新 updated
更新 update
更新 updating
更新 updates
降 descending
彈 play
艦 ship
層 layers
層 layer
主題 themes
主題 topic
主題 theme
主題 topics
主題 subject
球場 stadium
返回 returns
返回 return
宇宙 universe
宇宙 cosmic
醫院 hospital
醫院 hospitals
平方 square
平方 squared
批准 approvals
批准 ratification
批准 approval
批准 approve
批准 approved
瑞士 switzerland
大道 boulevard
大道 avenue
旅客 passenger
旅客 passengers
旅客 travelers
酒店 hotel
酒店 hotels
順 shun
西方 west
西方 western
現代 modern
未來 future
未來 mirai
營 battalion
營 camp
芳 fang
著作 writings
鯉 carp
金融 financial
任務 assignment
任務 task
任務 tasks
任務 mission
商業 commerce
商業 commercial
商業 business
雄 woong
基金 fund
基金 funds
空間 spaces
空間 space
亮 ryo
零 zero
詩 poem
詩 poetry
詩 poems
慶 kyung
慶 khánh
巨 giant
過去 past
董 tung
董 dong
國民 nationals
存 deposit
提高 increase
嚴重 serious
嚴重 severe
論 theory
俊 jun
俊 joon
背景 backgrounds
母親 mother
訓練 training
熙 hee
葡萄牙 portuguese
葡萄牙 portugal
行為 behaviour
行為 behaviors
行為 behavior
行為 conduct
喬 joe
朝鮮 joseon
朝鮮 korea
工業 industries
工業 industry
工業 industrial
蓋 gai
慧 hye
舒 shu
坦克 tank
坦克 tanks
劇場 theater
劇場 theatre
授予 awarding
授予 award
授予 awarded
水域 waters
茂 mau
茂 shigeru
茂 moo
參考 reference
健 jian
韓 han
台北市 taipei
收入 incomes
收入 revenue
收入 earnings
收入 income
收入 revenues
珍 jane
成績 achievements
成績 grades
成績 accomplishments
成績 achievement
姓 surname
盛 sheng
菜 dish
菜 cuisine
菜 dishes
古代 ancient
灰 gray
灰 ash
灰 grey
灰 ashes
工具 tool
工具 tools
寬 width
寬 broad
寬 wide
提升 upgrade
提升 upgrading
提升 lift
提升 uplift
楚 chu
新疆 xinjiang
退 retreat
十八 eighteen
持續 sustained
持續 continuous
品牌 brands
品牌 branding
品牌 brand
卓 cheuk
卓 zhuo
翻譯 translations
翻譯 translating
翻譯 translators
翻譯 translated
翻譯 translation
翻譯 translate
目標 goal
目標 objectives
目標 goals
目標 objective
目標 targets
目標 target
基礎 base
基礎 basis
自動 auto
自動 automatic
自動 automatically
自動 automated
群島 archipelago
群島 islands
理論 theory
理論 doctrine
理論 theories
軍隊 army
宣 xuan
鏡 mirror
注意 attention
大樓 building
出口 exit
出口 exports
出口 export
出口 exits
地震 earthquake
地震 earthquakes
平方米 sqm
關於 about
海外 overseas
海外 oversea
海外 offshore
高速公路 freeway
高速公路 highways
高速公路 expressways
高速公路 autoroute
高速公路 highway
產品 product
產品 products
條約 treaties
條約 treaty
助理 assistant
助理 assistants
畫 paint
畫 draw
畫 painting
舞 dance
舞 dancing
荷蘭 netherlands
獸 beast
汽車 car
汽車 cars
宏 macros
避免 avoiding
避免 avoid
命令 commands
命令 command
命令 order
命令 orders
遠 far
結構 structures
結構 architecture
結構 structure
結構 structural
埃及 egypt
字母 alphabet
字母 letters
字母 letter
大陸 continental
大陸 mainland
大陸 continent
大陸 continents
可可 coco
可可 cocoa
海岸 shore
海岸 coast
水平 horizontally
水平 horizontal
輝 fai
輝 huy
墨西哥 mexico
都市 metropolis
學習 studying
學習 study
學習 learning
學習 learn
賴 lai
阮 nguyễn
阮 nguyen
阮 ruan
動 move
樂團 band
樂團 orchestra
那些 those
材料 materiel
材料 material
材料 materials
以後 later
士兵 soldier
士兵 soldiers
容易 easy
魔法 magic
彼得 peter
大阪 osaka
茶 tea
孩子 child
代理 agent
代理 acting
代理 proxy
組合 combination
組合 mix
正常 normal
北京市 beijing
王子 prince
模型 models
模型 model
夜 nights
夜 night
乘客 passenger
乘客 passengers
錦標賽 championships
錦標賽 tournament
錦標賽 tournaments
錦標賽 championship
禁止 ban
禁止 forbidden
禁止 prohibited
禁止 prohibition
重播 replay
重播 playback
重播 rerun
宣傳 publicity
宣傳 propaganda
宣傳 advocacy
巨大 huge
同樣 likewise
克拉 carats
蛇 snake
蛇 snakes
紫 purple
紫 violet
週 week
完整 full
完整 complete
爆 blast
翁 weng
上市 listings
上市 listed
上市 listing
德里 delhi
森林 forest
森林 forests
介紹 introducing
介紹 intro
介紹 presentation
白色 white
晚上 evening
晚上 night
國王 king
袁 yuan
欣 xin
優 yu
耳 ear
耳 ears
改變 changing
改變 change
廣場 square
廣場 piazza
廣場 plaza
市民 citizens
市民 citizen
樹 tree
樹 trees
大西洋 atlantic
聯邦 federal
聯邦 federation
聯邦 confederation
麻 hemp
土耳其 turkey
酸 sour
酸 acid
酸 acids
董事 directors
董事 directorship
外交 diplomatic
外交 diplomacy
夫人 madam
公斤 kilograms
公斤 kilos
公斤 kg
公斤 kilogram
公斤 kilo
效果 effect
效果 effects
說明 description
資格 qualification
連續 consecutive
連續 continuous
連續 continuum
晚 late
輪 wheel
輪 wheels
輪 round
記錄 recording
記錄 record
記錄 records
作戰 combat
寫 write
寫 writing
鹿 deer
地理 geographic
地理 geography
孝 filial
孝 hyo
姜 kang
姜 jiang
姜 ginger
最近 lately
最近 recently
最近 recent
咸 salty
網頁 website
秘密 secret
變 change
人大 npc
開放 openness
開放 open
主持人 moderator
主持人 host
主持人 facilitator
移民 immigrants
移民 emigration
移民 migrants
移民 immigration
移民 migration
運輸 transportation
運輸 transport
背 back
第八 eighth
姚 yao
大小 sizes
大小 size
演唱會 concert
演唱會 concerts
錫 tin
習性 habits
頂 top
柏林 berlin
三個 three
今天 today
儒 ru
符 amulet
親 kiss
兒子 son
骨 bones
骨 bone
加州 california
人口普查 census
人口普查 censuses
戰役 battle
戰役 battles
電台 radio
墓 tomb
墓 grave
北方 north
北方 northern
活躍 active
星期一 mondays
星期一 monday
益 ik
首播 premiere
首播 premiered
業務 business
射 shoot
前身 predecessor
前身 forerunner
啟 kai
極 polar
極 extremely
野 wild
投資 investing
投資 invest
投資 investment
