から	from
野球	baseball
指定	designation
指定	specify
位置	position
以下	below
マン	mann
卒業	graduated
卒業	graduating
卒業	graduation
人物	person
文庫	bunko
公開	public
公開	publish
北海道	hokkaido
北海道	hokkaidō
最終	last
最終	final
アニメ	anime
確認	confirmation
確認	confirm
一般	general
歴史	history
選挙	election
選挙	elections
計画	planned
計画	planning
計画	plan
計画	plans
経済	economies
経済	economy
ページ	page
ページ	pages
教授	professor
記念	kinen
ラジオ	radio
劇場	theater
劇場	theatre
グループ	group
グループ	groups
英語	english
女性	woman
女性	female
女性	women
地区	district
獲得	earn
得点	score
コメント	comment
コメント	commenting
コメント	commented
コメント	comments
漫画	comics
漫画	manga
他の	others
自身	herself
就任	assumption
廃止	abolished
廃止	abolition
販売	selling
販売	sales
攻撃	attacks
攻撃	attack
サッカー	soccer
リー	lee
議員	senator
全国	nationwide
デビュー	debut
協会	association
路線	routes
フジ	fuji
自分	myself
戦争	war
戦争	wars
製作	production
部分	part
高校	highschool
番号	number
当初	initially
最初	first
受賞	awards
受賞	award
期間	duration
期間	period
広島	hiroshima
場所	place
場所	location
場所	places
技術	technology
海軍	navy
リンク	link
リンク	links
合併	merger
合併	mergers
または	or
道路	roads
道路	road
特定	specific
特定	specified
朝日	asahi
意味	meaning
意味	meanings
システム	system
システム	systems
モデル	models
モデル	model
対応	correspondence
列車	train
列車	trains
建設	construction
とき	when
最後	last
科学	science
理由	reasons
理由	reason
そして	and
一つ	one
大正	taisho
大正	taishō
最高	best
ブロック	blocks
ブロック	block
車両	vehicles
車両	vehicle
自動車	car
自動車	automobile
人口	populations
人口	population
特に	particularly
特に	especially
営業	business
発生	occurrence
新聞	newspaper
新聞	newspapers
連続	continuity
連続	continuous
政府	government
構成	configuration
構成	composition
構成	structure
構成	configurations
最大	maximum
最大	largest
キャラクター	character
キャラクター	characters
小説	novel
小説	novels
それぞれ	each
機関	organs
機関	institution
機関	institutions
参照	reference
参照	references
参照	referencing
メンバー	member
メンバー	members
発行	issued
発行	issuing
発行	issuance
発行	issue
画像	images
画像	picture
画像	image
画像	pictorial
状態	state
状態	condition
名称	denomination
名称	name
名称	names
ダム	dam
ホーム	home
運行	operation
投稿	post
投稿	posts
投稿	posting
名前	name
名前	names
福岡	fukuoka
施設	facilities
施設	institution
施設	facility
調査	surveys
調査	investigation
調査	survey
製造	manufactured
イタリア	italy
ロシア	russian
ロシア	russia
独立	independent
独立	independence
物語	monogatari
物語	story
物語	narrative
神社	shrines
神社	shrine
神社	jinja
企画	planning
サン	san
名古屋	nagoya
通常	normally
通常	usually
企業	enterprise
航空	aviation
航空	air
スーパー	super
帝国	empire
トン	tonne
トン	tons
トン	ton
トン	tonnes
影響	influence
影響	influences
勝利	victories
勝利	win
勝利	wins
勝利	victory
勝利	winning
デザイン	designs
デザイン	design
デザイン	designing
全て	everything
本社	headquarters
人間	human
千葉	chiba
アン	anne
アン	ang
アン	ann
交通	traffic
交通	transportation
交通	transport
組織	organization
組織	organisation
構造	structures
構造	structure
戦い	battle
実施	implementation
ここ	here
以前	formerly
以前	before
サービス	services
サービス	service
統合	consolidate
統合	integrated
統合	merge
統合	integration
統合	integrations
テーマ	themes
テーマ	theme
面積	area
エンジン	engine
エンジン	engines
主演	starring
ビル	bill
日本語	japanese
契約	contracts
契約	contract
設定	preferences
設定	settings
設定	setup
設定	configuration
設定	configure
ライブ	live
含む	contains
含む	includes
含む	including
専門	expertise
専門	specialized
機能	function
機能	features
機能	feature
機能	functionality
身長	height
所在地	locations
所在地	location
完成	completion
表記	notation
運転	driving
写真	photo
写真	photography
写真	photograph
写真	picture
関連	relevant
関連	related
書店	bookstore
高い	high
高い	tall
高い	expensive
生産	production
横浜	yokohama
上の	above
宇宙	universe
管理	management
管理	manage
バー	bars
バー	bar
ジョン	john
部隊	troop
公園	park
公園	parks
スポーツ	sport
スポーツ	sports
脚本	screenplay
脚本	script
目的	objectives
目的	aims
目的	purpose
目的	objective
生活	life
カード	cards
カード	card
基本	fundamentals
基本	basics
基本	basic
新潟	niigata
女優	actresses
女優	actress
不明	unknown
タイトル	titles
タイトル	title
政治	politics
電気	electricity
電気	electric
警察	police
作成	create
作成	creation
作成	created
ガン	gun
予定	scheduled
予定	planned
スター	star
経営	management
自由	freedom
自由	liberty
自由	free
自由	freedoms
過去	past
陸軍	army
運営	operation
愛知	aichi
表示	view
社長	president
社長	presidents
団体	organizations
団体	organization
工業	industrial
通り	street
外部	external
通信	correspondence
通信	communication
通信	communications
アル	al
俳優	actors
俳優	actress
俳優	actor
スペシャル	special
少年	boy
病院	hospital
病院	hospitals
結婚	marriage
結婚	marriages
個人	personal
個人	individual
個人	individuals
区間	interval
銀行	banking
銀行	bank
研究所	institute
主に	mainly
主に	primarily
学園	gakuen
彼女	she
ニュース	news
その他	other
その他	others
ソフト	soft
文学	literature
能力	ability
なし	none
なし	without
江戸	edo
学者	scholar
学者	scholars
国内	domestic
空港	airport
空港	airports
ヨーク	york
高速	fast
言語	languages
言語	language
設計	design
韓国	korea
リリース	release
リリース	releases
ベスト	vest
ベスト	best
現代	contemporary
会議	conference
会議	meetings
会議	meeting
バンド	band
バンド	bands
追加	add
追加	adds
追加	append
成功	successful
成功	success
移動	move
移動	moving
オリンピック	olympics
国民	national
国民	nation
ファン	fans
ファン	fan
すべて	everything
すべて	all
山口	yamaguchi
運動	exercise
運動	movement
環境	environment
環境	environments
発足	inauguration
大きな	big
競技	competition
会長	chairperson
会長	chairman
ヨーロッパ	europe
紹介	introduction
紹介	referral
形式	form
工場	factories
工場	factory
相手	opponent
戦闘	battle
戦闘	combat
労働	labour
労働	labor
事務所	office
限定	limited
データ	data
作戦	operation
オリジナル	originality
オリジナル	original
オリジナル	originals
可能性	possibilities
可能性	possible
可能性	possibility
演出	staging
種類	kinds
種類	type
種類	types
文字	character
文字	characters
大統領	president
協力	cooperation
指導	guidance
判断	judgement
判断	judgment
連邦	federation
ネット	net
ネット	nets
共和国	republic
引退	retire
引退	retiring
引退	retired
部門	department
産業	industry
決勝	final
プロデューサー	producers
プロデューサー	producer
系統	lineage
誕生	births
誕生	birth
指揮	command
指揮	commanding
レース	race
レース	racing
レース	lace
静岡	shizuoka
郵便	mail
神奈川	kanagawa
岡山	okayama
埼玉	saitama
項目	entries
カップ	cups
カップ	cup
ラン	run
レイ	ray
移転	transfer
移転	relocation
ほぼ	almost
ほぼ	nearly
交差点	intersection
イベント	events
イベント	event
競馬	horseracing
異なる	different
異なる	differing
神戸	kobe
カー	kerr
出典	sources
出典	source
関西	kansai
ほとんど	almost
行動	behaviour
行動	behavioural
行動	behavior
行動	behavioral
重要	important
プロジェクト	project
プロジェクト	projects
九州	kyūshū
九州	kyushu
電車	train
電車	trains
建築	architecture
クラス	classes
クラス	class
導入	introduction
アジア	asia
全体	overall
全体	whole
全体	entire
タイ	thailand
タイ	tai
タイ	ty
普通	ordinary
普通	normal
一人	one
長野	nagano
施行	enforced
舞台	stages
舞台	stage
一方	meanwhile
スペイン	spain
意見	opinion
意見	opinions
再び	again
発見	discovering
発見	discover
発見	discovery
鈴木	suzuki
ローマ	roman
ローマ	rome
ローマ	roma
保護	protecting
保護	protect
保護	protection
少女	girl
少女	shōjo
試験	examination
試験	exam
試験	exams
多数	many
多数	numerous
反対	against
反対	opposite
きく	ets
作家	authors
作家	writer
作家	writers
作家	author
地球	earth
方法	method
特徴	characteristics
特徴	features
特徴	feature
特徴	characteristic
ベース	base
ベース	bass
男性	male
男性	men
男性	man
ケース	case
ケース	cases
子供	kids
子供	children
子供	child
以来	since
福島	fukushima
大臣	minister
大臣	ministers
オープン	open
兵庫	hyogo
コーナー	corner
取締役	director
取締役	directors
人気	popular
人気	popularity
評価	rating
評価	ratings
評価	evaluation
評価	rate
評価	assessment
説明	explanation
説明	explain
説明	description
装備	equipment
ドル	dollars
ドル	dollar
投票	vote
投票	voting
雑誌	magazine
雑誌	magazines
熊本	kumamoto
グランド	grand
学科	department
学科	departments
パー	par
専用	dedicated
登録	register
登録	signup
登録	registrations
登録	registration
佐藤	sato
田中	tanaka
ソン	sơn
ステージ	stages
ステージ	stage
沖縄	okinawa
ゲスト	guest
ゲスト	guests
学生	students
学生	student
周辺	surroundings
周辺	periphery
言葉	word
言葉	words
教会	churches
教会	church
内閣	cabinet
整備	maintenance
主張	claim
主張	assertion
主張	allegation
ロック	lock
ロック	rock
事故	accident
事故	accidents
分類	category
分類	categorization
分類	classifications
分類	categories
分類	classification
状況	circumstance
状況	situations
状況	situation
状況	circumstances
中村	nakamura
連載	serialized
家族	family
距離	distance
距離	distances
表現	representation
表現	expression
表現	representations
仙台	sendai
新しい	new
ホール	hole
ホール	hall
体重	weight
血液	blood
同意	consent
同意	agreed
これらの	these
由来	origin
平均	average
平均	mean
事実	facts
事実	fact
店舗	stores
店舗	shops
店舗	store
カテゴリ	category
カテゴリ	categories
メートル	meters
メートル	metre
メートル	metres
芸術	arts
芸術	art
主人公	protagonist
複数	multiple
複数	plural
観光	tourism
観光	tourist
観光	sightseeing
取得	claim
取得	retrieve
取得	fetch
王国	kingdom
電話	telephone
刑事	detective
レコード	record
レコード	records
秋田	akita
上記	above
トップ	top
付近	near
リン	lynn
リン	phosphorus
輸送	transportation
輸送	transport
岐阜	gifu
飛行	flight
長崎	nagasaki
メイン	main
メイン	maine
メイン	primary
ロード	load
エル	elle
札幌	sapporo
ワールド	world
美術	art
息子	sons
息子	son
制度	institution
ツアー	tour
ツアー	tours
に関して	concerning
スタジオ	studios
スタジオ	studio
市民	citizens
市民	citizenship
市民	citizen
松本	matsumoto
同じく	likewise
自然	natural
自然	nature
マイル	miles
マイル	mile
組合	associations
生徒	students
生徒	pupil
生徒	student
ギター	guitar
アップ	up
転載	reposted
コース	course
コース	courses
防衛	defense
鹿児島	kagoshima
変化	change
アナウンサー	announcer
タイプ	type
議会	parliament
石川	ishikawa
パリ	paris
南部	nambu
南部	southern
経験	experienced
経験	experience
延長	extended
延長	extend
延長	extension
ランド	rand
ランド	land
ランド	lando
条件	conditional
条件	criteria
条件	conditions
条件	condition
伝説	legend
伝説	legendary
ロンドン	london
本部	hq
本部	headquarters
フリー	free
競走	race
競走	racing
高橋	takahashi
デジタル	digital
山田	yamada
台湾	taiwan
ポジション	position
ポジション	positions
紀元前	bc
インド	india
吉田	yoshida
東海	tokai
名誉	honour
名誉	honor
ソング	songs
ソング	song
ライン	line
履歴	history
方向	directions
方向	direction
方向	orientation
法律	law
法律	laws
提案	suggest
提案	suggestions
提案	suggestion
提案	proposal
シティ	city
効果	effect
効果	effects
ミュージック	music
ヶ月	months
予選	qualifying
予選	qualifiers
毎日	everyday
解説	commentary
解説	explanation
解説	explanations
解説	description
レギュラー	regular
職業	job
職業	occupations
職業	profession
職業	professions
職業	occupation
製品	product
製品	products
太郎	taro
速度	velocity
速度	speed
角川	kadokawa
入る	maypole
改正	amendments
改正	revision
近く	near
電子	electron
電子	electrons
徒歩	walk
アイドル	idle
アイドル	idol
更新	update
更新	refresh
更新	updates
配信	delivery
配信	broadcast
山本	yamamoto
はじめ	hajime
仕事	job
仕事	work
連盟	confederation
政策	policy
政治家	politicians
政治家	politician
メディア	media
メディア	medium
図書館	libraries
図書館	library
ただ	just
外国	foreign
艦隊	fleet
艦隊	fleets
支配	domination
支配	ruling
強い	strong
継承	succession
継承	inheritance
バージョン	version
バージョン	versions
ポイント	points
ポイント	point
温泉	onsen
旅客	passenger
方針	policy
方針	policies
執筆	writing
タイム	time
年頃	circa
基準	standards
基準	standard
基準	criteria
化学	chemical
化学	chemistry
接続	connections
接続	connection
接続	connecting
接続	connect
勝ち	win
関東	kanto
メーカー	maker
メーカー	manufacturer
学院	gakuin
障害	disability
小林	kobayashi
ブル	bull
ホテル	hotel
ホテル	hotels
仕様	specifications
仕様	specification
仕様	specs
将軍	general
奈良	nara
ビデオ	video
富山	toyama
分割	splitting
分割	split
商業	commerce
商業	commercial
殺人	homicide
殺人	murder
スタイル	styles
スタイル	style
リング	ring
リング	rings
報告	report
報告	reporting
報告	reports
マーク	mark
宣言	declare
宣言	declaration
キング	king
拡大	enlarge
伊藤	ito
伊藤	itō
ハイ	high
ベル	belle
ベル	bell
提出	submit
提出	submission
入学	entrance
入学	admission
フォン	fong
フォン	fon
支持	endorsements
支持	support
復活	resurrection
地震	earthquake
地震	earthquakes
博物館	museums
博物館	museum
週間	week
週間	weeks
週間	weekly
機構	mechanism
定義	definition
定義	define
定義	defining
定義	definitions
天皇	emperor
ボー	baud
ボー	bo
日本人	japanese
学部	faculties
学部	faculty
直接	directly
投手	pitcher
緯度	latitude
阪神	hanshin
カナダ	canada
カナダ	canadian
性格	character
性格	personality
ユニット	units
ユニット	unit
ピアノ	piano
良い	good
即時	immediate
近い	closer
レベル	levels
レベル	level
三重	mie
政権	regime
達成	achieved
達成	achievement
見る	see
見る	view
空間	space
新人	rookies
規定	provisions
同一	identical
ライト	light
ライト	wright
ライト	lights
ヒット	hits
ヒット	hit
大分	oita
大分	ōita
ブルー	blue
流れ	flow
宮城	miyagi
改造	alteration
ガス	gas
作業	work
作業	working
貨物	cargo
貨物	goods
貨物	freight
市場	market
青森	aomori
経度	longitude
徳島	tokushima
通算	lifetime
サイズ	sizes
サイズ	dimensions
サイズ	size
翻訳	translating
翻訳	translator
翻訳	translation
翻訳	translate
翻訳	translations
配置	placement
配置	arrangement
配置	alignment
配置	deployment
配置	placements
新宿	shinjuku
コード	code
米国	usa
米国	us
そこ	there
安全	safe
安全	safety
番目	second
番目	third
被害	damage
侵害	infringement
商品	goods
商品	products
商品	commodity
商品	merchandise
宮崎	miyazaki
詳細	detailed
詳細	details
備考	remarks
備考	notes
単位	units
単位	unit
東宝	toho
加藤	katō
加藤	kato
渡辺	watanabe
機械	machine
機械	machinery
機械	machines
マイ	mai
地元	locally
地元	local
地元	locals
東北	tohoku
出版社	publisher
これら	these
革命	revolution
増加	increase
増加	increasing
軌道	orbit
農業	agricultural
農業	farming
農業	agriculture
北部	northern
条約	treaties
条約	treaty
土曜	saturdays
理論	theory
理論	theories
オーストラリア	australian
オーストラリア	australia
欧州	europe
成長	growing
成長	growth
賛成	agree
海外	overseas
海外	abroad
生物	biological
生物	organism
オン	on
感じ	feels
理解	understanding
戦士	warrior
戦士	warriors
ジャンル	genre
ジャンル	genres
実験	experiments
実験	experiment
出力	output
出力	outputs
師団	division
主催	hosting
主催	host
主催	hosted
主催	organizer
茨城	ibaraki
統一	unity
統一	unification
料理	food
料理	cuisine
料理	cooking
ブランド	brands
ブランド	brand
首都	capital
報道	journalistic
報道	journalism
昇格	escalation
山形	yamagata
破壊	destroy
破壊	fracture
破壊	destruction
スタジアム	stadium
停止	stop
停止	halt
土地	lands
土地	land
解散	dissolution
解散	dissolved
解散	dismissed
捜査	investigation
兄弟	brother
兄弟	brothers
戦隊	sentai
戦隊	squadron
メジャー	major
イメージ	images
イメージ	image
違い	differences
違い	difference
軍事	military
創設	founding
ハン	han
カラー	color
カラー	colours
カラー	colour
カラー	colors
チャンネル	channels
チャンネル	channel
ドラフト	draft
川崎	kawasaki
西部	west
オランダ	netherlands
オランダ	holland
セット	set
セット	sets
制定	enactment
動物	animals
動物	animal
住民	inhabitants
住民	resident
住民	residents
民族	ethnic
資本	capital
福井	fukui
テンプレート	templates
テンプレート	template
あなた	you
選択	selection
選択	selections
選択	selecting
選択	choice
選択	choose
選択	select
ジョージ	george
失敗	fail
失敗	failure
失敗	failures
失敗	failed
標準	standard
ワン	one
清水	shimizu
購入	purchase
購入	buy
購入	purchases
購入	purchasing
購入	buying
ライ	rye
ライ	rai
終点	terminus
タレント	entertainer
タレント	talents
タレント	talent
リア	lear
リア	lia
階級	ranks
階級	class
レッド	red
市長	mayor
コーチ	coaches
コーチ	coach
建物	building
建物	buildings
ジュニア	junior
候補	candidate
朝鮮	korea
朝鮮	corea
自動	auto
自動	automatic
モード	mode
モード	modes
劇団	troupe
皇帝	emperor
皇帝	emperors
認定	certified
認定	recognition
認定	accreditation
分離	separation
挑戦	challenges
挑戦	challenge
改革	reforms
改革	reform
集団	group
魔法	magic
修正	correction
修正	fix
継続	continued
継続	continuation
継続	continuing
地下鉄	underground
地下鉄	subway
地下鉄	metro
井上	inoue
ブログ	blog
ブログ	blogs
部屋	room
部屋	rooms
もしくは	or
既に	already
トラック	track
トラック	tracks
トラック	truck
トラック	trucks
東部	east
東部	eastern
美術館	museums
美術館	museum
合計	sum
合計	total
合計	sums
合計	totals
貢献	contribution
貢献	contributions
古代	ancient
エンディング	ending
エンディング	conclusion
ユーザー	user
ユーザー	users
バン	van
父親	fathers
父親	father
バック	buck
批判	criticism
批判	criticisms
原因	cause
植物	plants
植物	plant
ショー	shaw
ショー	show
ボーカル	vocals
ボーカル	vocal
コミック	comics
コミック	comic
毎週	weekly
エネルギー	energies
エネルギー	energy
ルール	rules
ルール	rule
未来	future
未来	futuristic
移行	migrate
移行	migrating
移行	migration
移行	migrations
ユース	youth
三菱	mitsubishi
週刊	weekly
乗車	boarding
まだ	still
ランキング	ranking
ランキング	rankings
ダイ	dai
金曜	fridays
処理	processing
年齢	age
年齢	ages
エリア	elia
エリア	area
形態	morphology
形態	forms
派遣	dispatch
機体	airframe
ポーランド	poland
シン	shin
シン	sin
作曲家	composer
精神	spirit
拠点	foothold
日付	date
日付	dates
スタート	start
範囲	ranges
範囲	scope
範囲	range
自治体	municipalities
宣伝	publicity
宣伝	promotion
宣伝	promote
宣伝	boost
哲学	philosophy
財団	foundation
反応	reaction
教師	teacher
教師	teachers
宗教	religion
武器	weapons
武器	weapon
住宅	residential
住宅	housing
住宅	homes
保存	save
保存	saving
保存	preservation
岩手	iwate
辞典	dictionaries
辞典	dictionary
機関車	locomotive
緊急	urgent
緊急	emergency
地下	underground
地下	basement
連絡	liaison
連隊	regiment
連隊	regiments
連隊	regimental
ウィキペディア	wikipedia
連結	consolidated
連結	concatenation
レン	wren
ストーリー	story
ストーリー	stories
ストーリー	narrative
太陽	sun
交換	exchange
保険	insurance
制限	limitations
制限	restrictions
制限	limits
制限	restriction
制限	restricted
制限	limit
キー	keys
キー	key
渋谷	shibuya
栃木	tochigi
責任	liability
責任	responsibility
児童	child
群馬	gunma
群馬	gumma
フル	full
ボール	ball
ボール	balls
急行	express
電力	electricity
医学	medicine
医学	medical
所有	owned
ブラック	black
サー	sir
自己	self
シーン	scene
シーン	scenes
憲法	constitution
支店	branch
鳥取	tottori
管理者	admin
管理者	administrators
管理者	administrator
管理者	admins
略称	abbreviation
オープニング	opening
ロン	ron
田村	tamura
カリフォルニア	california
タウン	town
カバー	cover
コンピュータ	computer
コンピュータ	computers
取引	transaction
取引	trading
取引	transactions
取引	trade
長い	long
禁止	prohibited
禁止	prohibition
電鉄	dentetsu
統計	statistics
統計	stats
フォー	four
フォー	pho
強化	strengthen
強化	strengthening
強化	reinforcing
強化	reinforcement
パン	pan
パン	bread
物理	physical
インターネット	internet
和歌山	wakayama
管轄	jurisdiction
岩波	iwanami
回避	evasion
藤原	fujiwara
パーク	park
思想	thinker
アフリカ	africa
アフリカ	african
先生	sensei
先生	teacher
先生	doctor
訓練	training
街道	kaidō
ハウス	house
展示	exhibit
展示	exhibition
展示	exhibits
展示	exhibitions
徳川	tokugawa
月刊	monthly
検索	search
検索	searching
池田	ikeda
ホー	ho
ホー	haw
対策	countermeasure
ポール	paul
会員	member
会員	membership
リスト	list
リスト	lists
トンネル	tunnel
トンネル	tunnels
チャート	charts
チャート	chart
共通	common
ケン	ken
内部	interior
内部	internal
グリーン	green
竣工	completion
カール	curl
戦車	tank
戦車	tanks
スキー	ski
スキー	skiing
愛称	nicknamed
愛称	nickname
愛称	nicknames
消滅	lapse
消滅	extinction
再開	reopen
再開	resuming
再開	resume
一番	ichiban
ミニ	mini
機器	device
機器	equipment
機器	devices
プロダクション	production
スタッフ	staff
いくつか	some
プログラム	program
プログラム	programme
プログラム	programs
アカデミー	academy
アカデミー	academies
司会	moderator
司会	presenter
合意	consensus
合意	agreed
合意	agreement
二人	two
改善	improving
改善	improve
改善	improvement
文書	document
文書	documents
世代	generation
世代	generations
ブラジル	brazil
ブラジル	brazilian
ネットワーク	network
ネットワーク	networks
審査	review
審査	examination
ダン	dan
重量	weight
観測	observed
観測	observing
観測	observation
観測	observations
木村	kimura
会場	venue
会場	venues
プレイヤー	player
プレイヤー	players
シャー	shah
河川	river
河川	rivers
クイズ	quiz
巨大	huge
巨大	giant
伝統	tradition
伝統	traditions
ナイト	knight
ナイト	night
区分	category
命令	instruction
命令	orders
ジャン	jean
旅行	travel
旅行	trip
旅行	journey
旅行	traveling
旅行	travelling
旅行	trips
ルー	lew
ルー	lou
松竹	shochiku
要求	demands
一郎	ichirō
一郎	ichiro
後継	successors
月曜	mondays
少ない	fewer
少ない	less
比較	compare
比較	comparisons
貴族	nobles
貴族	nobility
向上	improve
バトル	battle
日曜	sundays
ダンス	dance
ダンス	dancing
資格	qualifications
資格	qualification
プロデュース	produce
実現	realized
実現	realization
ミサイル	missiles
ミサイル	missile
セント	cents
セント	cent
文章	sentence
ルート	routes
ルート	route
ルート	root
わずか	slight
到着	arrival
到着	arriving
到着	arrivals
トラ	tiger
平和	peace
平和	peaceful
注意	caution
注意	attention
ドラゴン	dragons
ドラゴン	dragon
一度	once
今日	today
集合	set
集合	sets
コンサート	concert
コンサート	concerts
回転	rotating
回転	rotation
回転	rotate
回転	rotational
ロボット	robot
ロボット	robots
歩兵	infantry
青年	youth
小惑星	asteroids
小惑星	asteroid
宝塚	takarazuka
用語	term
用語	terms
用語	terminology
前身	predecessor
前身	forerunner
前身	predecessors
姉妹	sisters
姉妹	sister
小さな	small
テン	marten
テン	ten
秘密	secrets
秘密	secret
秘密	secrecy
操作	operations
操作	operation
残り	remaining
一致	matches
一致	match
適用	apply
オーストリア	austrian
オーストリア	austria
山梨	yamanashi
イオン	ion
イオン	ions
仲間	comrade
ジャック	jack
ソロ	solo
フィールド	field
フィールド	fields
キロ	kilometers
キロ	kilo
論文	thesis
諸島	islands
休止	suspension
休止	pause
休止	discontinuance
高知	kōchi
高知	kochi
メキシコ	mexican
メキシコ	mexico
フォード	ford
福祉	welfare
属する	belong
レポート	report
レポート	reporting
レポート	reports
要素	elements
要素	element
表明	assertion
市町村	municipalities
市町村	municipality
平日	weekday
平日	weekdays
ブラ	bra
地図	map
地図	maps
ブリ	bri
違反	violation
違反	breach
違反	violations
違反	offense
衛星	satellite
性能	performance
カメラ	camera
カメラ	cameras
役割	role
役割	roles
野村	nomura
十分	enough
ティー	tee
参議	sangi
改良	improvements
改良	improved
ワイド	wide
講師	lecturer
講師	instructors
講師	instructor
ルイ	louis
ルイ	rui
ルイ	louie
曖昧	ambiguous
曖昧	vague
曖昧	ambiguity
録音	recording
サブ	sub
ニッポン	nippon
読み	read
指名	nomination
指名	nominating
冒険	adventure
冒険	adventures
コレクション	collections
コレクション	collection
犯罪	crime
大陸	continent
大陸	continents
バイパス	bypass
画面	screen
医師	physician
医師	doctors
医師	physicians
医師	doctor
国会	parliament
国会	diet
インタビュー	interview
インタビュー	interviews
インタビュー	interviewing
ワシントン	washington
マガジン	magazine
生命	life
執行	execution
コミュニティ	communities
コミュニティ	community
弁護士	attorneys
弁護士	lawyers
弁護士	lawyer
危険	dangerous
危険	danger
健康	healthy
健康	health
愛媛	ehime
設備	amenities
設備	facilities
わか	waka
価格	prices
価格	price
価格	pricing
アニメーション	animation
アニメーション	animations
対立	conflict
参考	reference
香川	kagawa
カン	kang
工学	engineering
工学	engineered
タン	tan
母親	mothers
母親	mother
ベン	ben
専攻	majors
専攻	major
ドア	door
ドア	doors
順位	standings
数学	mathematics
数学	math
配給	ration
信号	signals
信号	signal
ドン	don
ダイレクト	direct
審議	deliberation
あまり	slightly
ゴール	goals
ゴール	goal
金融	finance
もし	if
スウェーデン	sweden
ミス	miss
ロバート	robert
金沢	kanazawa
周囲	perimeter
動画	videography
動画	video
動画	videos
わら	straw
広告	ads
広告	advertising
広告	advertisement
広告	ad
ユダヤ	judea
幕府	bakufu
幕府	shogunate
佐賀	saga
実行	execute
実行	execution
始める	start
始める	begin
入口	entrance
チャンピオン	champion
チャンピオン	champions
日記	journals
日記	journal
日記	diary
日記	diaries
セル	cell
セル	cells
有効	enabled
有効	valid
フラン	franc
フラン	fran
歌詞	lyrics
鎌倉	kamakura
サイ	rhinoceros
サイ	rhinos
サイ	rhino
パワー	power
アーティスト	artists
アーティスト	artist
会館	kaikan
食品	food
サポート	support
午後	afternoon
午後	pm
ステーション	station
戦艦	battleship
騎士	knight
騎士	knights
音声	voice
音声	audio
音声	speech
うた	uta
ティン	ting
遺産	heritage
権利	rights
トロ	toro
学習	learned
学習	learning
学習	learn
バンク	bank
スコア	score
スコア	scores
スペース	spaces
スペース	space
四国	shikoku
潜水艦	submarine
潜水艦	submarines
人生	life
証券	securities
ウェブサイト	website
ウェブサイト	websites
大和	yamato
コピー	copy
コピー	copies
コピー	copying
ステークス	stakes
エピソード	episodes
エピソード	episode
イラスト	illustrations
イラスト	illustration
空軍	airforce
中山	nakayama
すでに	already
収容	commitment
収容	detention
希望	hopes
希望	hope
三郎	saburo
マリア	maria
航空機	aircraft
